age,period_days,star_1_mass,star_2_mass
12373643088.9961,8.23138119452353,0.244595400280616,1.49937665985097
12373931648.9424,8.23703868829291,0.244528489189324,1.49939338762379
12374219434.3105,8.24268719831913,0.244461757706701,1.49941007049445
12374506176.4089,8.24824868966196,0.244396059679282,1.4994264950013
12374792027.9874,8.25387408621499,0.244329747011874,1.49944307316815
12375077216.4171,8.25949257778915,0.244263588183639,1.49945961287521
12375361231.2039,8.2650217975344,0.244198485984281,1.49947588842505
12375643629.8506,8.27045442950485,0.244134524854456,1.49949187870751
12375925471.1495,8.27588204696199,0.244070689959631,1.49950783743121
12376206812.9229,8.28130571168757,0.244006968203513,1.49952376787024
12376487643.4755,8.28672519983264,0.243943362234967,1.49953966936238
12376767825.1472,8.29199804329767,0.243881414161623,1.49955515638072
12377046898.7553,8.29732677603666,0.243818939792245,1.49957077497306
12377325952.8481,8.30259170699468,0.243757213482096,1.4995862065506
12377604848.9573,8.30785901230349,0.243695522117682,1.4996016293917
12377882416.1144,8.31303868353899,0.243634855636758,1.49961679601193
12378158832.0849,8.31820201171931,0.243574440764992,1.49963189972987
12378434872.4165,8.32336350514218,0.243514107994769,1.49964698292243
12378710516.5495,8.32852273371871,0.243453861819716,1.49966204446619
12378986090.9927,8.33361895024541,0.243394347911441,1.49967692294326
12379262125.9669,8.33872873935728,0.243334734545496,1.49969182628475
12379537485.8094,8.34383104791877,0.243275266983047,1.49970669317536
12379811804.7571,8.34891905186504,0.243216024215486,1.49972150386725
12380085390.5266,8.35393263224983,0.243157643173381,1.49973609912778
12380358324.4845,8.35893913636264,0.243099401222738,1.49975065961544
12380630693.8422,8.36387527673656,0.243041971675552,1.49976501700223
12380902402.9434,8.36874020936164,0.242985363372345,1.49977916907804
12381173451.5703,8.37359784828354,0.242928892673412,1.49979328675277
12381443866.5621,8.37844871060389,0.242872553986994,1.49980737142437
12381713398.9177,8.38322541261663,0.242817067699892,1.49982124299615
12381982113.8999,8.38799202060176,0.242761749678361,1.49983507250153
12382250118.2988,8.39275041532263,0.242706577938427,1.49984886543652
12382517099.6825,8.39749496102141,0.242651616797767,1.49986260572168
12382783146.9522,8.40216572694296,0.242597499965086,1.49987613492985
12383048271.0783,8.40676394278043,0.242544212922169,1.49988945669058
12383312113.9913,8.41134402235718,0.242491183389017,1.49990271407387
12383575096.4003,8.41591317426614,0.242438326807742,1.49991592821919
12383837635.6349,8.42041920973595,0.242386187484292,1.49992896305005
12384099683.2217,8.42486207976578,0.242334765344139,1.49994181858509
12384361335.8499,8.42930203309352,0.242283420707525,1.49995465474424
12384622768.279,8.43374210884621,0.242232119281029,1.49996748010086
12384883965.3113,8.43812410909476,0.242181474228286,1.49998014136405
12385144398.0309,8.4424398825326,0.242131578525755,1.49999261528968
12385403762.5212,8.44680055434523,0.242081266344774,1.50000519333493
12385662262.1927,8.45109356697491,0.24203171888092,1.50001758020089
12385919867.5322,8.4553193789679,0.241982930646603,1.50002977725947
12386176711.7697,8.45953615519241,0.241934286558473,1.5000419382815
12386433001.8382,8.46374726197254,0.241885747425174,1.50005407306483
12386688715.9336,8.46784233480414,0.241838470472623,1.50006589230297
12386943558.2923,8.47198290897302,0.241790765741255,1.50007781848581
12387197602.5345,8.47605977089175,0.241743776546684,1.50008956578445
12387450842.5629,8.48012692959179,0.241696936103196,1.50010127589532
12387703882.8065,8.48414078357645,0.24165068979723,1.50011283747181
12387957143.712,8.48816127688433,0.241604403162518,1.50012440913049
12388210152.6883,8.49212820631015,0.241558713054279,1.50013583165755
12388462685.6009,8.49609067194017,0.241513108916908,1.50014723269189
12388714632.4078,8.50004701698846,0.241467610622554,1.50015860726548
12388965878.5521,8.50394352608089,0.241422778998757,1.50016981517143
12389216523.2206,8.50778254832004,0.241378587132629,1.50018086313796
12389466601.7441,8.5116157747334,0.241334495085128,1.50019188614984
12389715890.8561,8.51538945640544,0.241291065469379,1.50020274355378
12389964334.4417,8.51915305450959,0.241247783156025,1.50021356413212
12390212338.8599,8.52291278625654,0.24120457735173,1.50022436558319
12390459747.2415,8.52661681079766,0.241161988503904,1.50023501279515
12390706192.1341,8.5302603900671,0.24112007054658,1.50024549228448
12390952389.3545,8.53390290987157,0.241078194715979,1.50025596124213
12391198013.1439,8.53749151822105,0.241036913781231,1.50026628147581
12391442870.6479,8.54107146665065,0.240995761632808,1.50027656951292
12391686914.4014,8.54459481187782,0.240955234526312,1.50028670128954
12391930277.1952,8.54811076519557,0.240914820503326,1.50029680479529
12392173147.3096,8.55152910626672,0.240875448587733,1.50030664777419
12392414739.878,8.5549317342576,0.240836283776395,1.50031643897702
12392655159.1976,8.55832013130058,0.240797309161586,1.50032618263073
12392894821.9629,8.56165529208546,0.240758919715985,1.50033577999213
12393133930.5838,8.56498493874078,0.24072061903386,1.50034535516266
12393372529.6064,8.56826552728121,0.24068285496848,1.500354796179
12393610567.2281,8.57149700457803,0.24064562827276,1.50036410285293
12393847756.1275,8.57467611957311,0.240608975903517,1.50037326594524
12394084351.0857,8.57780698756248,0.24057285056004,1.50038229728111
12394320429.9036,8.58097672714982,0.240536353443585,1.50039142156023
12394556423.0081,8.5841473186067,0.240499869578174,1.50040054252658
12394791765.0097,8.58722687570471,0.240464352638258,1.50040942176156
12395024996.7319,8.59028066737699,0.240429154173866,1.50041822137766
12395257326.0579,8.59328381316154,0.240394509303822,1.50042688259517
12395489049.21,8.59624083888441,0.240360366189051,1.50043541837386
12395719739.9985,8.59918643967925,0.240326375187306,1.5004439161243
12395949707.1804,8.60208515277684,0.240292894190475,1.5004522863735
12396179628.6651,8.60498497291072,0.240259419846698,1.50046065495945
12396409620.4492,8.60784843240414,0.240226333893948,1.50046892644764
12396638917.1662,8.61066650305982,0.240193740621568,1.50047707476573
12396867626.6709,8.6134789498038,0.240161230818206,1.50048520221657
12397096179.1796,8.61625322780887,0.240129130086773,1.50049322739943
